Ticker,Start Price,Start,End,Short,Long,Baseline,Managed,% Difference,$ Profit
OXY,63.28964614868164,2018-01-01,2022-12-31,2,3,-0.010648623502865107,7.336681964685596,742.6411649824736,527.6256515990474
C,61.415767669677734,2018-01-01,2022-12-31,2,3,-0.3381594466942728,4.067825511233593,665.7169821222163,311.2443941883881
DIS,108.7260513305664,2018-01-01,2022-12-31,2,3,-0.22430360349525102,3.39431505097086,466.49935087637823,477.77652379453826
PYPL,73.83999633789062,2018-01-01,2022-12-31,2,3,-0.036126845609874,5.25599168812594,549.0471966805953,461.9424033410936
DOCU,39.72999954223633,2018-01-01,2022-12-31,2,3,0.33283394809058775,7.9637217645249585,572.5310213898999,356.1286616013104
XOM,63.7986946105957,2018-01-01,2022-12-31,2,3,0.5230017519184065,4.710573493844812,274.955149372064,364.3271343851677
TSM,35.13541793823242,2018-01-01,2022-12-31,2,3,0.7420833417613752,4.466251650443292,213.77670168847987,192.05903629387782
DEO,128.2352752685547,2018-01-01,2022-12-31,2,3,0.32010118244522356,2.412151763991627,158.4765326602691,437.5582207135507
AMD,10.979999542236328,2018-01-01,2022-12-31,2,3,1.7747670869755958,8.70882393914694,249.89689710242442,106.6028824074865
EL.PA,103.6240005493164,2018-01-01,2022-12-31,2,3,0.47254572950306795,3.7320300657863683,221.35029635943874,490.3518861364284
